correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Andersen;;;;;"(Letterina A) a Copenhagen gli e' stata dedicata una Sirenetta";;;
Attinia;;;;;"(letterina A) altro nome dell'anemone di mare";;;
Amedei;;;;;"(Letterina A) Amedeo, 'il fornaretto' idolatrato dai romanisti";;;
Acapulco;;;;;"(Letterina A) citta' messicana celebre per le sue spiagge";;;
Antartide;;;;;"(Letterina A) di quale continente il monte Vinson (5.150 mt.) e' il massiccio piu' alto";;;
Arancia;;;;;"(letterina A) e' il frutto piu' conosciuto della famiglia delle rutacee";;;
Australia;;;;;"(Letterina A) e' il paese con piu' pecore";;;
Aorta;;;;;"(letterina A) E' il piu' grande vaso sanguigno del corpo umano";;;
Amen;;;;;"(Letterina A) e' l'ultima parola della Bibbia";;;
Annapurna;;;;;"(Letterina A) fu la prima cima oltre gli 8.000 metri ad essere conquistata";;;
Alaska;;;;;"(Letterina A) fu pagata piu' di 7 milioni di dollari nel 1867 dagli Stati Uniti";;;
Agamennone;;;;;"(Letterina A) fu ucciso da Clitennestra";;;
Aborigeni;;;;;"(letterina A) gli originari abitanti dell'australia";;;
Artificiali;;;;;"(Letterina A) i 'paradisi' di Baudelaire";;;
Amaro;;;;;"(Letterina A) il 'riso' di Giuseppe De Santis";;;
Angiolieri;;;;;"(Letterina A) il Cecco che si fece beffe del 'dolce stil novo'";;;
auriga;;;;;"(letterina A) il cocchiere del carro da corsa nell'antica Roma";;;
Africa;;;;;"(Letterina A) il continente che comprende il maggior numero di nazioni";;;
Africa;;;;;"(Letterina A) il continente con la Sierra Leone";;;
Allah;;;;;"(Letterina A) il dio del quale porta il nome la perla piu' grossa del mondo";;;
Abbondio;;;;;"(Letterina A) il Don che camminava in una stradicciola nei pressi del lago di Como il 7 novembre 1628";;;
Arno;;;;;"(Letterina A) il fiume in cui Manzoni fece 'il bucato'";;;
Agamennone;;;;;"(Letterina A) il fratello di Menelao";;;
Arpino;;;;;"(Letterina A) il Giovanni che ha scritto La suora giovane";;;
Anquetil;;;;;"(Letterina A) il Jacques ciclista francese che ha vinto il Tour per quattro volte consecutive";;;
Anarchismo;;;;;"(letterina A) il movimento politico fondato da Michail Bakunin";;;
Australia;;;;;"(Letterina A) il paese che ha accolto piu' di 75.000 forzati tra il 1750 e il 1840";;;
Ara;;;;;"(letterina A) il pappagallo che ha le maggiori dimensioni";;;
"Arthur AShe";;;;;"(Letterina A) il primo tennista di colore a vincere Wimbledon";;;
Ashe;;;;;"(Letterina A) il primo tennista di colore a vincere Wimbledon";;;
Avati;;;;;"(Letterina A) il Pupi regista italiano che ha fatto Una gita scolastica";;;
Agostino;;;;;"(Letterina A) il santo che ha scritto De civitate Dei";;;
Alcatraz;;;;;"(letterina A) l'edificio che sorge su di uno scoglio della baia di San Francisco";;;
